Practice Number,Practice Name,Dispensing,Physical Address,City or Town,Province,Telephone Number,Longitude,Latitude,Map
1468138,HERSELMAN E F & STANDER J J,Yes,"8 Riebeeck Street, Kareedouw",Kareedouw,Eastern Cape,042 2880601,24°17′41.105″E,33°57′8.772″S,View Map
1478982,MXENGE,No,"104 Sobhuza Street, Motherwell",Motherwell,Eastern Cape,041 4691124,25°36′32.458″E,33°48′5.578″S,View Map
1479407,MOODALEY,Yes,"Malabar Shopping Complex, 48 Mountview Drive, Malabar",Gqeberha,Eastern Cape,041 4571127,25°32′2.724″E,33°55′29.136″S,View Map
1491717,MOOLMAN A J & GREEFF A P INC,Yes,"184 Caledon Street, Kariega",Kariega,Eastern Cape,041 9921414,25°23′38.648″E,33°45′45.846″S,View Map
1493833,STRYDOM,Yes,"Capespan Building, R62 Road, Louterwater",Louterwater,Eastern Cape,042 2721225,23°39′50.004″E,33°48′4.092″S,View Map
1497952,MABASO,Yes,1757 Main Road,Addo,Eastern Cape,078 7941511,29°45′56.88″E,28°33′31.32″S,View Map
1504258,BIYANA,Yes,"328 Njoli Street, Zwide Ext 3",Ibhayi,Eastern Cape,041 4644098,25°34′0″E,33°52′18.127″S,View Map
1507591,VAN DEN BERG A R & PARTNERS,No,"46 John Street, Kariega",Kariega,Eastern Cape,041 9921611,25°23′44.93″E,33°45′55.62″S,View Map
1508687,GERBER,No,100a Park Drive,Port Elizabeth,Eastern Cape,041 5853686,25°37′33.837″E,33°57′43.016″S,View Map
1509136,LOCHNER J O & PARTNERS,No,"New Medical Centre, 1 Barrack Street, Fort Beaufort",Fort Beaufort,Eastern Cape,046 6451177,26°38′0.279″E,32°46′47.49″S,View Map
1509160,BARBOUR,No,"Main Street, Hankey",Hankey,Eastern Cape,071 6569781,24°52′54.814″E,33°50′2.875″S,View Map
1511394,SONAVANE,Yes,"184 Booysen Park Drive, Booysens Park",Bethelsdorp,Eastern Cape,041 4831242,25°28′17.806″E,33°51′20.569″S,View Map
1513869,RAMJAN,Yes,"Erf 50, Main Street, Keiskammahoek",Keiskammahoek,Eastern Cape,063 0767585,27°9′4.089″E,32°41′3.538″S,View Map
1515179,MAFUYA,Yes,"Butterworth Medical Centre, 30 Merriman Street, Butterworth",Butterworth,Eastern Cape,047 4914455,28°8′45.882″E,32°19′47.756″S,View Map
1515616,VORSTER,Yes,"9 Mill Street, Nqanqarhu",Nqanqarhu,Eastern Cape,045 9321002,28°20′53.776″E,31°3′53.642″S,View Map
1518968,SCHARNECK,Yes,"2 William Slammert Drive, Bethelsdorp",Ibhayi,Eastern Cape,041 4815271,25°30′11.438″E,33°52′32.633″S,View Map
1530410,MATROSHE,Yes,"1 West Street, Kentani",Kentani,Eastern Cape,067 8261312,28°18′59.363″E,32°30′25.732″S,View Map
1532901,VAN STAADEN,Yes,"40 Scholtz Street, Bloemendal",Bethelsdorp,Eastern Cape,041 4816163,25°30′13.846″E,33°52′19.722″S,View Map
1536117,ANJUM,Yes,"Old Taba Office, 2 Garden Street, Alice",Alice,Eastern Cape,040 6531314,26°50′8.741″E,32°47′11.714″S,View Map
1537725,COETZEE,No,"Schuin Villa Medical Centre, 74 5th Avenue, Newton Park",Gqeberha,Eastern Cape,041 3651313,25°33′42.714″E,33°56′55.726″S,View Map
1539205,SWART,Yes,"Algoa Park Medical Centre, 125 Dyke Road, Algoapark",Gqeberha,Eastern Cape,041 4564601,25°33′42.188″E,33°54′10.632″S,View Map
1542737,MANTSHIYO,Yes,"10249 Site And Service, Maqanda Street",Kwazakhele,Eastern Cape,082 5475642,25°35′41.28″E,33°53′18.708″S,View Map
1545213,RICHARDSON,Yes,"37 Hemming Street, Cathcart",Cathcart,Eastern Cape,045 8431052,27°8′45.226″E,32°17′50.623″S,View Map
1547984,ARENDS,Yes,"5 Starling Drive, Gamble",Kariega,Eastern Cape,041 9881120,25°22′11.391″E,33°44′34.965″S,View Map
1548336,SCHOEMAN,Yes,"Dr Adi-mari Schoeman Inc, Fred Ferreira Rd",Patensie,Eastern Cape,042 0422830262,24°54′36.72″E,34°3′2.52″S,View Map
1549243,VELLEMAN,No,"Schuin Villa Medical Centre, 74 5th Avenue, Newton Park",Gqeberha,Eastern Cape,041 3651313,25°33′42.695″E,33°56′55.742″S,View Map
1556142,SAAYMAN,No,"6 End Street, Somerset East",Somerset East,Eastern Cape,042 0110067,25°35′13.418″E,32°43′37.227″S,View Map
1560689,PRETORIUS,Yes,"10 Alfred Street, Stutterheim",Stutterheim,Eastern Cape,043 6831122,27°25′46.366″E,32°34′6.599″S,View Map
1572849,CHRISTIANE,Yes,"41 Grey Street, Queenstown",Queenstown,Eastern Cape,045 8381671,26°52′43.083″E,31°53′44.289″S,View Map
1573713,NCOYO,Yes,"N U 2, 151 Khama Road, Motherwell",Motherwell,Eastern Cape,041 4695474,25°36′19.612″E,33°48′4.686″S,View Map
1577905,NAIKER,Yes,"29a Balfour Road, Vincent",East London,Eastern Cape,043 7211055,27°54′6.23″E,32°58′52.072″S,View Map
1582054,MULLER,Yes,"22 Voortrekker Street, Aberdeen",Aberdeen,Eastern Cape,049 8460618,24°3′39.792″E,32°28′36.211″S,View Map
1584774,NDAMASE,Yes,"7 Joubert Street, Queenstown",Queenstown,Eastern Cape,045 8382457,26°52′3.161″E,31°53′44.911″S,View Map
1586432,SLABBERT,Yes,"31 Victoria Street, Cradock",Cradock,Eastern Cape,048 8810068,25°37′13.852″E,32°9′57.905″S,View Map
1586629,TEBELELE,Yes,"4 Mthunyelo Street, Kwadwesi",Ibhayi,Eastern Cape,041 4854260,25°30′26.762″E,33°50′45.836″S,View Map
44385,DE SOUZA,Yes,"56 Victoria Street, Norwood",Mthatha,Eastern Cape,047 5310707,28°47′3.056″E,31°35′29.795″S,View Map
44571,FAGBUYI,Yes,135 Durban Street,Uitenhage,Eastern Cape,041 0414509477,25°23′47.724″E,33°46′12.216″S,View Map
77739,NGQOBA,Yes,"Old Prime Cure Clinic Building, Cnr Khama Street & Hintsa Avenue, Kwanobuhle",Kwa Nobuhle,Eastern Cape,041 9771330,25°23′41.936″E,33°48′14.526″S,View Map
127000,FIKENI,Yes,"Ground Floor Old Mutual, Building 171 Main Street, Mount Frere",Mount Frere,Eastern Cape,039 2550130,28°59′48.297″E,30°53′40.28″S,View Map
128422,"MUTESASIRA, LLOYD & GODLONTON",Yes,"The Colcade, 41 Hill Street, Grahamstown",Grahamstown,Eastern Cape,046 6361732,26°31′36.073″E,33°18′39.182″S,View Map
145440,NKALANE,Yes,"Shop 4 Steady Centre, Thompson Avenue, Bizana",Bizana,Eastern Cape,039 2510171,29°51′19.07″E,30°51′34.104″S,View Map
161683,APPAVOO,Yes,"30 Albany Road, North End",East London,Eastern Cape,043 7222356,25°36′34.564″E,33°57′17.457″S,View Map
167401,NADARAJU,Yes,"N U 2 10390 Stand Street, Mdantsane",Mdantsane,Eastern Cape,043 7600024,,,
171522,DRS CF ERASMUS AND BARNAND,Yes,"15 John Street, Kirkwood",Kirkwood,Eastern Cape,042 2301082,25°26′39.709″E,33°24′2.67″S,View Map
181331,MAHARAJ,Yes,"Shop 5 Amca Centre, Main Street, Lusikisiki",Lusikisiki,Eastern Cape,039 2531315,29°34′24.55″E,31°21′41.711″S,View Map
184233,DRS WR PIETERSE & WF SMITH,Yes,"41 Noord Street, Graaff-reinet",Graaff-Reinet,Eastern Cape,049 8922231,24°31′58.282″E,32°14′54.6″S,View Map
219223,SIBAYA,No,"211 Oxford Street, Southernwood",East London,Eastern Cape,043 7432302,27°54′2.062″E,33°0′18.483″S,View Map
231622,D J BOUWER INCORPORATED,Yes,"11 Durban Road, Korsten",Gqeberha,Eastern Cape,041 4530051,25°35′0″E,33°56′7.805″S,View Map
275115,ODUFU,Yes,"N U 7, 14 Mzwazwa Street, Motherwell",Motherwell,Eastern Cape,041 4625787,25°34′43.414″E,33°48′43.852″S,View Map
295493,NYILENDA,No,14 Devereaux Avenue,Vincent,Eastern Cape,067 6549431,27°43′32.19″E,32°56′45.476″S,View Map
299324,FORMICA,No,"68 Southwell Road, Port Alfred",Port Alfred,Eastern Cape,046 6245191,26°53′4.456″E,33°35′30.257″S,View Map
300284,DE LA HARPE,No,"97 Cape Road, Mount Croix",Gqeberha (Port Elizabeth),Eastern Cape,041 3630407,25°35′53.346″E,33°57′33.029″S,View Map
325341,SWANEPOEL,No,"29 African Street, Grahamstown",Grahamstown,Eastern Cape,087 7016194,26°31′28.532″E,33°18′24.021″S,View Map
355429,YAPI,No,"Shop 86 Nu6 Mdantsane City Mall, Cnr Billie Road & Qumza Highway, East London",East London,Eastern Cape,043 7621299,27°44′24.498″E,32°56′4.704″S,View Map
356115,RAFOLS,Yes,"13 Wellington Street, Qonce",Qonce,Eastern Cape,043 6423819,27°23′8.687″E,32°52′40.026″S,View Map
370495,LALI,No,"Office 4 Gunuza Complex, 85 High Street, Engcobo",Ngcobo,Eastern Cape,047 5483135,28°0′27.22″E,31°40′54.152″S,View Map
387673,NOMBEMBE,No,"29 Sprigg Street, Norwood",Mthatha,Eastern Cape,047 5310505,28°47′29.321″E,31°35′25.53″S,View Map
393673,SIHELE,No,"24 Ebden Street, Queenstown",Queenstown,Eastern Cape,045 8381637,26°52′34.138″E,31°53′45.581″S,View Map
430080,MAMVE,Yes,"250 Richardson Road, Dutywa",Idutywa,Eastern Cape,047 4891071,28°18′22.992″E,32°5′45.311″S,View Map
450847,ADKINS,Yes,"75 Nelson Mandela Drive, Norwood",Mthatha,Eastern Cape,047 5312840,28°46′44.926″E,31°35′34.204″S,View Map
463698,PRINSLOO,No,"Shop 11 My Pond Hotel Complex, 33 Van Der Riet Street, Port Alfred",Port Alfred,Eastern Cape,046 624 5299,26°53′7.88″E,33°35′25.412″S,View Map
468428,LUDICK,No,"Schuin Villa Medical Centre, 74 5th Avenue, Newton Park",Gqeberha,Eastern Cape,041 3651313,25°33′42.706″E,33°56′55.735″S,View Map
493163,FETSHA,No,"Unit 6 Humerail Shopping Centre, Humewood Road, Humerail",Gqeberha,Eastern Cape,041 5865360,25°37′57.395″E,33°58′15.069″S,View Map
542717,NAGTEGAAL J AND ASSOCIATES,No,"26a Woltemade Street, Pellsrus",Jeffreys Bay,Eastern Cape,042 2931166,24°55′6.967″E,34°3′18.486″S,View Map
562459,H A NEETHLING INCORPORATED,Yes,"73 Adderley Street, Cradock",Cradock,Eastern Cape,048 8811670,25°36′59.472″E,32°9′56.412″S,View Map
574929,BOOYSEN,No,"8 - 10 Caroline Street, Graaff-reinet",Graaff-Reinet,Eastern Cape,049 8910474,24°32′7.174″E,32°15′12.461″S,View Map
701815,DRS KILIAN CONRADIE LOOTS AND AS,Yes,"1 8th Avenue, Summerstrand",Gqeberha,Eastern Cape,041 5832121,25°40′2.961″E,33°59′11.999″S,View Map
720402,CINGO,Yes,"Moholo Building, 98 Westgate Street, Port St Johns",Port St Johns,Eastern Cape,047 5640043,29°32′36.907″E,31°37′14.569″S,View Map
741191,MALANTI,Yes,"71 Grey Street, Dordrecht",Dordrecht,Eastern Cape,045 9431114,27°2′52.87″E,31°22′26.351″S,View Map
745774,OKAFOR,Yes,7 Popo Molefi Street,Walmer,Eastern Cape,041 5812516,25°34′57.147″E,33°52′30.168″S,View Map
748781,OLUBIYI,No,"Shop 7-8, Cnr Alexander & Saffery Street, Humansdorp",Humansdorp,Eastern Cape,042 9400640,24°46′23.28″E,34°1′55.142″S,View Map
774030,FRAY,Yes,"127 Windyridge Road, Parkside",East London,Eastern Cape,043 7220144,,,
786705,KANKOLONGO,Yes,"12 Meintjies Street, Middelburg",Middelburg,Eastern Cape,049 8421015,25°0′18.119″E,31°29′54.342″S,View Map
812234,FREERCKS,No,"5 Rhapsody Centre, 140 St Francis Drive, St Francis Bay",St Francis Bay,Eastern Cape,073 3413778,24°49′40.95″E,34°9′43.311″S,View Map
909521,TSHABALALA,No,"26 Sprigg Street, Norwood",Mthatha,Eastern Cape,047 4950778,28°47′28.46″E,31°35′23.574″S,View Map
920851,ADENIYI,Yes,"31 King Street, Southernwood",East London,Eastern Cape,043 7220256,27°54′0″E,33°0′1.131″S,View Map
922501,DR MANDY LYONS INC,No,"Shop 3, Walmer Downs Family Centre, William Moffet",Gqeberha,Eastern Cape,041 3734491,25°36′16.729″E,33°58′5.363″S,View Map
940127,DR SL VAN HEERDEN INC,Yes,"36 Lloyd Street, Elliot",Elliot,Eastern Cape,045 9311911,27°50′54.177″E,31°20′7.289″S,View Map
970190,DR H BURGER AND DR A VAN DER WAL,No,"9 Hillcrest Close, Bluewater Bay",Gqeberha,Eastern Cape,087 0877234,25°37′55.721″E,33°50′57.556″S,View Map
1024590,BAVUMA,Yes,"Shop No 7, Next To Boxer Store, Qumbu Plaza",Qumbu,Eastern Cape,087 8221322,,,
1036122,RAMJEE,Yes,"63 Cambridge Road, Qonce",Qonce,Eastern Cape,043 6422093,27°23′36.446″E,32°53′3.949″S,View Map
1065076,CLAASSEN,No,"Schuin Villa Medical Centre, 74 5th Avenue, Newton Park",Gqeberha,Eastern Cape,041 3651313,25°33′42.705″E,33°56′55.702″S,View Map
1074652,BADLI,Yes,"35 Beaufort Street, Grahamstown",Grahamstown,Eastern Cape,046 0010399,26°31′59.1″E,33°18′39.201″S,View Map
1408976,DALGLEISH,Yes,"225 Incarha Drive, Morgans Bay",Morgan Bay,Eastern Cape,082 6598491,28°20′25.725″E,32°42′14.492″S,View Map
1409417,GUNASE,Yes,"Spar Buffalo Flats, 36 Atlantic Circle, Buffalo Flats",East London,Eastern Cape,043 7338333,27°51′9.949″E,33°1′1.703″S,View Map
1415174,BERRIOS,Yes,"1 Songwiqi Street, Kwanobuhle",Kwa Nobuhle,Eastern Cape,041 9773223,25°23′31.579″E,33°48′56.673″S,View Map
1424807,MEYER,Yes,"34 Da Gama Road, Jeffreys Bay",Jeffreys Bay,Eastern Cape,042 2933339,24°55′21.443″E,34°3′2.088″S,View Map
1426214,MARAIS,No,"14 Somerset Street, Graaff-reinet",Graaff-Reinet,Eastern Cape,049 8922171,24°32′15.045″E,32°15′0.699″S,View Map
1431846,LOYSON,Yes,"635 Govan Mbeki Avenue, North End",Gqeberha,Eastern Cape,041 4841516,25°36′21.36″E,33°56′33.891″S,View Map
1432842,DE JONGH EN COETZEE INGELYF,No,"79 Main Street, Despatch",Despatch,Eastern Cape,041 9335100,25°28′27.994″E,33°48′4.175″S,View Map
1437402,VAN STADEN,No,"56 Uitenhage Road, Sydenham",Gqeberha,Eastern Cape,041 4843333,25°32′22.088″E,33°51′21.726″S,View Map
1440438,GOVENDER,Yes,"Suite 8 Ground Floor Life, Mercantile Hospital 249 Kempston, Korsten",Port Elizabeth,Eastern Cape,041 4533584,25°34′57.851″E,33°56′9.42″S,View Map
1443925,MANGA,Yes,"Sanctor Medical Centre, 48 Marock Road, Sanctor",Bethelsdorp,Eastern Cape,041 4812161,25°30′40.442″E,33°52′52.948″S,View Map
1448838,VAN GREUNEN,Yes,"3 P J Retief Street, Joubertina",Joubertina,Eastern Cape,042 2731313,23°51′36.725″E,33°49′36.11″S,View Map
1458191,ESSA,Yes,"1 Main Street, Tabankulu",Tabankulu,Eastern Cape,039 2580062,29°18′5.566″E,30°57′43.621″S,View Map
1458531,PARUK,Yes,"Unit 86 Cleary Park Centre, Cleary Park",Bethelsdorp,Eastern Cape,041 4816076,25°31′42.077″E,33°53′39.39″S,View Map
1461257,MAHARAJ,Yes,"70 Liebenberg Road, Jarman",Gqeberha,Eastern Cape,041 4523726,25°33′26.055″E,33°54′46.35″S,View Map
1462490,LIMBADA,Yes,"14a Wellington Street, Qonce",Qonce,Eastern Cape,043 6421226,27°23′7.495″E,32°52′40.284″S,View Map
1462598,BAWASA,Yes,Po Box 16411,Gelvandale,Eastern Cape,041 4814027,,,
1501097,ANDERSON,Yes,"2 Van Riebeeck Street, Senekal",Senekal,Free State,058 4813909,27°37′23.85″E,28°19′23.62″S,View Map
1502506,KAJEE,Yes,"Mba Building, 44 Bok Street, Welkom",Welkom,Free State,057 3574152,26°44′20.351″E,27°59′1.684″S,View Map
1502743,BOUWER,No,"Shop 5 Heuwelsig Centre, Leo Van Der Heever Crescent, Heuwelsig",Bloemfontein,Free State,051 4101666,26°11′45.199″E,29°4′29.784″S,View Map
1514156,KRITZINGER J D W & PARTNERS,No,"Bethlehem Medical Centre, 4 De Leeuw Street, Bethlehem",Bethlehem,Free State,058 3036408,28°19′9.447″E,28°13′57.604″S,View Map
1518895,VAN ASWEGEN,No,"7 Medene Building, 32 President Steyn Avenue, Westdene",Bloemfontein,Free State,051 4470177,26°12′38.313″E,29°6′18.309″S,View Map
1523856,DR N J NEL INCORPORATED,Yes,"30 Buitekant Street, Kroonstad",Kroonstad,Free State,056 2132708,27°14′11.047″E,27°39′47.127″S,View Map
1533460,DU PLESSIS,Yes,"50 Steyn Street, Hennenman",Hennenman,Free State,057 5732047,27°1′32.967″E,27°58′31.346″S,View Map
1535013,MOKOLOKO,Yes,"35 Blue Street, Botshabelo",Botshabelo,Free State,051 5344192,26°42′13.371″E,29°11′57.506″S,View Map
1535056,OMAR,Yes,"43 Theron Street, Theunissen",Theunissen,Free State,057 7331991,26°42′48.35″E,28°24′1.492″S,View Map
1541188,BOTHA,Yes,"1 Schultz Street, Philippolis",Philippolis,Free State,051 7730484,25°16′28.634″E,30°15′50.837″S,View Map
1544381,NIEUWOUDT,Yes,"Room G01 Mediclinic Welkom, Meulen Street, Welkom",Welkom,Free State,057 3524029,26°43′50.953″E,27°59′20.679″S,View Map
1550314,DU TOIT & PARTNERS,No,"Promed Centre, 73 Fontein Street, Ficksburg",Ficksburg,Free State,051 9332259,27°52′50.856″E,28°52′27.153″S,View Map
